regime,epoch,train_loss,train_accuracy,val_loss,val_accuracy
probe,1,1.8142588933308919,0.25,1.3921135928895738,0.4444444444444444
probe,2,1.1881758868694305,0.5277777777777778,0.9760624832577176,0.6944444444444444
probe,3,0.7199392914772034,0.8611111111111112,0.8684951729244657,0.6666666666666666
probe,4,0.4570140639940898,0.9166666666666666,0.6317573852009244,0.7777777777777778
probe,5,0.360688457886378,0.9166666666666666,0.5255186822679307,0.8333333333333334
probe,6,0.24436519294977188,0.9861111111111112,0.5302794443236457,0.8333333333333334
probe,7,0.20543111364046732,0.9861111111111112,0.46042878097958034,0.8333333333333334
probe,8,0.15523658817013106,1.0,0.41534939408302307,0.8888888888888888
probe,9,0.13855032746990523,1.0,0.39353909426265293,0.8611111111111112
probe,10,0.10657061263918877,1.0,0.3669303059577942,0.8888888888888888
probe,11,0.09475106621781985,1.0,0.3601375487115648,0.8888888888888888
probe,12,0.0819233035047849,1.0,0.35185642706023323,0.8888888888888888
probe,13,0.07301352918148041,1.0,0.3495305859380298,0.8888888888888888
probe,14,0.06518923367063205,1.0,0.34095456699530285,0.9166666666666666
probe,15,0.06188371405005455,1.0,0.33068979448742336,0.8888888888888888
late,1,2.042006492614746,0.18055555555555555,1.6768923335605197,0.3611111111111111
late,2,1.539662520090739,0.4027777777777778,1.2964441378911336,0.4444444444444444
late,3,0.937593807776769,0.7083333333333334,1.1298948625723522,0.5833333333333334
late,4,0.4968356390794118,0.8472222222222222,0.7534577747186025,0.75
late,5,0.1369476163915048,0.9583333333333334,1.0181353290875752,0.75
late,6,0.07266251238373418,0.9861111111111112,2.920265727572971,0.5833333333333334
late,7,0.06565285543911159,1.0,1.3920429415173001,0.6944444444444444
late,8,0.05218614395319795,0.9722222222222222,2.2226748731401234,0.5555555555555556
late,9,0.03971123830221283,0.9861111111111112,2.1752648750933883,0.5277777777777778
late,10,0.06224960220667223,0.9861111111111112,3.28106070889367,0.4444444444444444
late,11,0.3028248354191116,0.9583333333333334,0.9986932145224677,0.6944444444444444
late,12,0.10894174960170251,0.9583333333333334,1.630471978627611,0.6111111111111112
late,13,0.02114047948271036,1.0,1.9697204785431193,0.6388888888888888
late,14,0.006132793088909239,1.0,2.1162425989750773,0.6388888888888888
late,15,0.003426659619435668,1.0,1.9572691441410117,0.5833333333333334
all,1,1.8185815215110779,0.2777777777777778,1.3909783628251817,0.4166666666666667
all,2,0.9497283697128296,0.6666666666666666,0.7950038115183512,0.75
all,3,0.3207702860236168,0.9444444444444444,0.566481265756819,0.8055555555555556
all,4,0.07298391157140334,1.0,0.35704346828990513,0.8611111111111112
all,5,0.02721114596351981,1.0,0.3063076308204068,0.9166666666666666
all,6,0.0048724950368826585,1.0,0.4545410654197137,0.8611111111111112
all,7,0.0020719389140140265,1.0,0.3854920383956697,0.8611111111111112
all,8,0.0006057575325636814,1.0,0.3490754852278365,0.9166666666666666
all,9,0.0003990160912508145,1.0,0.34452139772474766,0.9166666666666666
all,10,0.0003456800671604772,1.0,0.3439759831461642,0.9166666666666666
all,11,0.0002850109946545369,1.0,0.34235679503116345,0.9166666666666666
all,12,0.000204525165221033,1.0,0.34182619531121516,0.9166666666666666
all,13,0.00017177685852705812,1.0,0.34318829514086246,0.9444444444444444
all,14,0.0001473251152977658,1.0,0.34607492718431687,0.9166666666666666
all,15,0.00013161913011572324,1.0,0.34792653160790604,0.8888888888888888
