condition,epoch,train_objective,train_stochastic_accuracy,train_clean_loss,train_clean_accuracy,val_loss,val_accuracy,decayed_parameter_l2,epoch_seconds
weight_decay,21,0.061859166368842124,0.981,0.05636262559890747,0.9835,4.527037573242188,0.4414,21.553382873535156,0.2556612499975017
weight_decay,22,0.1303417316675186,0.954,0.22150418853759765,0.923,4.321197619628906,0.4056,21.770137786865234,0.25471324999671197
weight_decay,23,0.19130006539821626,0.936,0.10704849624633789,0.9675,3.4517215576171876,0.4384,22.10005760192871,0.2638109170002281
weight_decay,24,0.08634690636396408,0.9745,0.0316986939907074,0.994,3.906302160644531,0.4504,22.374557495117188,0.27737299999716925
weight_decay,25,0.03292571610212326,0.994,0.013735698938369751,0.997,4.384086804199219,0.4512,22.52410888671875,0.2771373750001658
weight_decay,26,0.022153137564659118,0.9945,0.023079638600349426,0.995,4.785553674316406,0.4478,22.60968589782715,0.28033087499352405
weight_decay,27,0.026007090225815772,0.9945,0.049515955448150635,0.9835,4.763990625,0.4396,22.697002410888672,0.2780911660011043
weight_decay,28,0.02966051496565342,0.992,0.028033429682254793,0.992,4.595344970703125,0.4482,22.769424438476562,0.2806897500049672
weight_decay,29,0.027588781222701073,0.992,0.009207944214344024,0.9985,4.579144909667969,0.4518,22.854467391967773,0.29771387499931734
weight_decay,30,0.013119458006694912,0.996,0.006182993412017822,0.999,4.817482263183594,0.4504,22.923322677612305,0.2587570420000702
weight_decay,31,0.015263727232813835,0.9965,0.008282669365406036,0.999,4.921658862304687,0.4524,22.972747802734375,0.2604247920025955
weight_decay,32,0.011867549926042557,0.996,0.005776217252016068,1.0,5.125124548339843,0.4434,23.015491485595703,0.26941658400028246
weight_decay,33,0.008648641653358937,0.9995,0.004988862991333008,0.999,4.999033068847656,0.4496,23.05743408203125,0.2567424580047373
weight_decay,34,0.012871213957667351,0.996,0.007784734725952149,0.998,5.153510180664062,0.4464,23.10296630859375,0.270364583004266
weight_decay,35,0.017417347732931375,0.994,0.012178166568279266,0.997,5.0968892333984375,0.4456,23.16823959350586,0.25667437499942025
augmentation,0,nan,nan,2.3034690704345704,0.1,2.3034230041503907,0.1,13.954270362854004,0.11912612499872921
augmentation,1,2.2498970680236816,0.159,2.066528091430664,0.2435,2.0699402160644533,0.2486,14.422611236572266,0.2945106670013047
augmentation,2,2.0551667346954345,0.233,2.017404754638672,0.2685,2.0306018615722654,0.2524,14.80454158782959,0.2711691670047003
augmentation,3,1.9610019540786743,0.289,1.829522232055664,0.338,1.8517674713134766,0.3304,15.18718147277832,0.2709354999969946
augmentation,4,1.8675772790908813,0.325,1.7513892822265624,0.3525,1.7865699157714843,0.349,15.518527030944824,0.31062083299912047
augmentation,5,1.7697066249847413,0.3415,1.698136947631836,0.385,1.7551767211914062,0.3476,15.838623046875,0.30559399999765446
augmentation,6,1.695439432144165,0.3725,1.6153971405029297,0.409,1.6900301940917968,0.3828,16.168197631835938,0.28559458399831783
augmentation,7,1.6434023990631104,0.394,1.5322325286865235,0.4455,1.6291790710449219,0.4012,16.459135055541992,0.2781067920004716
augmentation,8,1.5766481313705445,0.415,1.4926105041503905,0.4445,1.6024388916015626,0.4064,16.730709075927734,0.2936172909976449
augmentation,9,1.5655580673217773,0.4245,1.498752670288086,0.4555,1.6650290802001952,0.394,17.022768020629883,0.27542216700385325
augmentation,10,1.5288863220214843,0.434,1.3390447692871095,0.502,1.5248087097167968,0.4372,17.316823959350586,0.2700423749993206
augmentation,11,1.4931166763305663,0.4435,1.3963084716796874,0.497,1.575454962158203,0.422,17.586885452270508,0.3176786250041914
augmentation,12,1.4263276510238647,0.4845,1.3063691253662109,0.52,1.5294455108642577,0.4284,17.869661331176758,0.2754782499978319
augmentation,13,1.405994318008423,0.4935,1.349299606323242,0.4945,1.58319423828125,0.426,18.15288543701172,0.27002899999934016
augmentation,14,1.409002763748169,0.4765,1.1782408294677735,0.58,1.4251645385742187,0.47,18.458965301513672,0.2704466249997495
augmentation,15,1.3134507942199707,0.5235,1.1692339248657226,0.578,1.4472337646484374,0.475,18.767181396484375,0.2706242080021184
augmentation,16,1.3095050201416016,0.5235,1.1266860885620118,0.6,1.4359350280761718,0.4728,19.041484832763672,0.2719165829985286
augmentation,17,1.304855242729187,0.527,1.0733211975097656,0.616,1.4092762084960937,0.493,19.32601547241211,0.2699969579989556
augmentation,18,1.2478105792999268,0.538,1.0341360778808595,0.621,1.405526171875,0.4902,19.590166091918945,0.27301512499980163
augmentation,19,1.209865990638733,0.5635,1.0665276107788086,0.599,1.481709976196289,0.4856,19.878650665283203,0.27179395799612394
augmentation,20,1.2147975807189941,0.549,1.045009536743164,0.6275,1.4391771087646483,0.4904,20.18383026123047,0.2692364579997957
augmentation,21,1.1657419729232787,0.5725,0.9370576477050782,0.667,1.3906312133789063,0.5064,20.49711036682129,0.27021083300496684
augmentation,22,1.2023201112747193,0.565,0.9826807556152344,0.6475,1.3981284729003907,0.5002,20.810792922973633,0.2696608339974773
augmentation,23,1.1489367198944092,0.5875,0.959050163269043,0.655,1.4607751953125,0.4954,21.121578216552734,0.27030445800482994
augmentation,24,1.0798711805343628,0.604,0.8755110702514648,0.692,1.3811588562011718,0.5156,21.419950485229492,0.2702489590010373
augmentation,25,1.0454185543060304,0.619,0.8124835357666016,0.7155,1.3685711639404297,0.5202,21.692249298095703,0.27796879100060323
augmentation,26,1.0370788726806641,0.629,0.8183410034179688,0.699,1.3780556671142579,0.5126,21.98078155517578,0.2703375839992077
augmentation,27,0.9814209270477295,0.643,0.735438720703125,0.7555,1.3622468688964844,0.5246,22.26308822631836,0.2709284579977975
augmentation,28,0.9706146631240845,0.6565,0.70568989944458,0.766,1.325827325439453,0.536,22.515321731567383,0.26877716700255405
augmentation,29,0.9303856258392333,0.665,0.6744885711669922,0.761,1.4000235778808594,0.5338,22.77125358581543,0.270204874999763
augmentation,30,0.9225527257919311,0.664,0.7016309928894043,0.76,1.409867694091797,0.5268,23.02835464477539,0.27409958300268045
augmentation,31,0.8563826351165772,0.699,0.6204917030334473,0.7845,1.4131112548828124,0.5456,23.308589935302734,0.2881363750057062
augmentation,32,0.8527593383789063,0.693,0.6352912940979004,0.7855,1.4251422393798827,0.5296,23.5789794921875,0.2879140829973039
augmentation,33,0.8479251098632813,0.698,0.6391655960083008,0.7765,1.4330797149658203,0.529,23.83860969543457,0.28948895900248317
augmentation,34,0.8140792803764343,0.7155,0.5641335792541504,0.805,1.4574752746582031,0.5448,24.102928161621094,0.2753526249944116
augmentation,35,0.7686198062896729,0.727,0.535100383758545,0.8145,1.4056959594726564,0.5382,24.369775772094727,0.2878783329942962
dropout,0,nan,nan,2.3034690704345704,0.1,2.3034230041503907,0.1,13.954270362854004,0.11908458400284871
dropout,1,2.287082118988037,0.1175,2.183084228515625,0.2045,2.17810048828125,0.2018,14.426054954528809,0.2797965409990866
dropout,2,2.14993270111084,0.2145,2.07959375,0.2415,2.0919021240234374,0.2376,14.803529739379883,0.2605990000010934
dropout,3,2.035686851501465,0.251,1.886350341796875,0.32,1.9162308715820313,0.2996,15.143597602844238,0.2602763329996378
dropout,4,1.9386304779052734,0.2945,1.8249447937011718,0.343,1.8603784057617188,0.3328,15.459294319152832,0.28493983299995307
dropout,5,1.8485592403411866,0.322,1.7351603088378906,0.367,1.7900829040527344,0.3202,15.811056137084961,0.26601508300518617
dropout,6,1.781213659286499,0.3395,1.6284271240234376,0.41,1.7167833709716798,0.3744,16.164260864257812,0.2748578339960659
dropout,7,1.6942738027572632,0.3895,1.5593492431640625,0.447,1.6816603454589845,0.3878,16.554975509643555,0.2664313750065048
dropout,8,1.6193718481063843,0.4,1.4885038299560547,0.4625,1.6384911193847655,0.4038,16.971817016601562,0.26012133399490267
dropout,9,1.6367847242355347,0.4,1.42570703125,0.486,1.6245453308105469,0.412,17.391368865966797,0.2604245839975192
dropout,10,1.5068900003433228,0.448,1.3581753540039063,0.5045,1.587498553466797,0.408,17.798227310180664,0.26099408300069626
dropout,11,1.463816065788269,0.469,1.2866121520996094,0.5325,1.5560695861816407,0.4286,18.169025421142578,0.2605112079982064
dropout,12,1.3998167514801025,0.489,1.212601577758789,0.582,1.5395361755371093,0.4404,18.560043334960938,0.2602106249978533
dropout,13,1.3557126693725585,0.5025,1.0935133209228516,0.5975,1.550529837036133,0.4496,18.974578857421875,0.26026933299726807
dropout,14,1.3066321620941161,0.512,1.1161292877197266,0.5995,1.5983723205566407,0.447,19.391380310058594,0.2602360419987235
dropout,15,1.2506813230514526,0.5545,0.9931512908935547,0.6605,1.5157623229980468,0.4658,19.83907127380371,0.260308916993381
dropout,16,1.1621576480865479,0.578,0.8822883071899414,0.6975,1.5725839599609375,0.4574,20.27450942993164,0.27708512500248617
dropout,17,1.122470534324646,0.585,0.8145046844482422,0.726,1.5498128784179688,0.4718,20.724246978759766,0.26350766600080533
dropout,18,1.0922333269119262,0.5935,0.773348731994629,0.7355,1.5769730407714844,0.4604,21.162782669067383,0.2634574999974575
dropout,19,1.0254445610046388,0.632,0.7702479019165039,0.754,1.6288967102050782,0.4566,21.602554321289062,0.26233658300043317
dropout,20,0.9646694908142089,0.67,0.6375175552368164,0.802,1.6232819396972655,0.4636,22.031129837036133,0.26325187500333413
dropout,21,0.8803733153343201,0.681,0.5671077499389648,0.809,1.704553207397461,0.466,22.45465087890625,0.28081216599821346
dropout,22,0.8276870832443237,0.702,0.49226879501342774,0.8585,1.6993517974853516,0.4702,22.858976364135742,0.28002441699936753
dropout,23,0.8006424970626831,0.717,0.5220004844665528,0.8575,1.6497068908691406,0.4618,23.24070167541504,0.2620060829940485
dropout,24,0.7501379852294922,0.7265,0.39425423049926756,0.8895,1.782873065185547,0.4696,23.622724533081055,0.28123479199712165
dropout,25,0.6897018570899963,0.741,0.3588206672668457,0.911,1.7679294219970703,0.4728,23.98871612548828,0.2623512499994831
dropout,26,0.6626562452316285,0.754,0.3076748695373535,0.9285,1.855807012939453,0.4712,24.367656707763672,0.2623701249976875
dropout,27,0.6386092472076416,0.7625,0.2920371074676514,0.9255,1.9131562927246093,0.4726,24.744213104248047,0.2616714590039919
dropout,28,0.5912012319564819,0.7845,0.29955645751953125,0.92,1.9110150024414063,0.468,25.108787536621094,0.2612254999985453
dropout,29,0.5650983729362488,0.7955,0.20001972770690918,0.9595,2.068518951416016,0.4748,25.45390510559082,0.26202575000206707
dropout,30,0.5073168463706971,0.824,0.17865635299682617,0.969,2.1137492248535157,0.4654,25.77776527404785,0.26209649999509566
dropout,31,0.46082555198669434,0.8435,0.17537030792236327,0.964,2.213211700439453,0.4698,26.102800369262695,0.26831845800188603
dropout,32,0.4388458914756775,0.832,0.13387292575836182,0.977,2.1446907043457033,0.4674,26.434661865234375,0.2776057919982122
dropout,33,0.42394024443626405,0.8405,0.1164961633682251,0.983,2.2014617065429687,0.4704,26.733776092529297,0.2666531249997206
dropout,34,0.3748770945072174,0.8635,0.09445271444320678,0.979,2.499950451660156,0.463,27.01555633544922,0.2624378339969553
dropout,35,0.3747314031124115,0.8605,0.09081947040557861,0.987,2.3235338195800783,0.474,27.291728973388672,0.2692154159958591
label_smoothing,0,nan,nan,2.3034690704345704,0.1,2.3034230041503907,0.1,13.954270362854004,0.13543570799811278
label_smoothing,1,2.2429454460144043,0.1615,2.037530776977539,0.265,2.0593108276367187,0.2566,14.430254936218262,0.2654480830024113
label_smoothing,2,2.07107865524292,0.2595,1.95535888671875,0.303,1.9900169006347657,0.2872,14.827055931091309,0.26215920799586456
label_smoothing,3,1.9542170486450194,0.328,1.7919133758544923,0.365,1.8683543823242188,0.3324,15.212632179260254,0.25890599999547703
label_smoothing,4,1.8496428928375244,0.3665,1.6929754486083985,0.4155,1.780346710205078,0.3674,15.562126159667969,0.28010495800117496
label_smoothing,5,1.7663699216842652,0.408,1.594465316772461,0.4295,1.7502919219970703,0.3644,15.916341781616211,0.271998625001288
label_smoothing,6,1.6741417846679687,0.464,1.4395154724121093,0.477,1.6580882873535157,0.4098,16.26769256591797,0.28248941600031685
label_smoothing,7,1.6058088340759278,0.4875,1.3797577056884767,0.5265,1.6581468383789062,0.4072,16.59784507751465,0.28935654099768726
label_smoothing,8,1.5205231399536132,0.5475,1.2041634826660157,0.5805,1.5598227783203125,0.4408,16.969388961791992,0.271993583002768
label_smoothing,9,1.432895040512085,0.5845,1.1220632629394531,0.6115,1.6200165557861328,0.4122,17.351394653320312,0.2616029580021859
label_smoothing,10,1.3383845863342285,0.6295,0.9794545364379883,0.6855,1.5775843872070312,0.4436,17.74734878540039,0.26547620800556615
label_smoothing,11,1.2157413301467896,0.7025,0.8557339401245118,0.731,1.5470613677978515,0.4544,18.13960075378418,0.2602599999954691
label_smoothing,12,1.14772345161438,0.7375,0.6673733139038086,0.828,1.561334521484375,0.4618,18.5363826751709,0.2615506669972092
label_smoothing,13,1.0198043384552002,0.808,0.5772711334228515,0.8505,1.631641146850586,0.4536,18.927663803100586,0.2589487500008545
label_smoothing,14,0.9140266289710999,0.876,0.46184845352172854,0.925,1.6392956909179688,0.4506,19.273387908935547,0.258523457996489
label_smoothing,15,0.8487340211868286,0.9115,0.41382848358154295,0.9395,1.7461785308837892,0.438,19.598608016967773,0.26485758300259477
label_smoothing,16,0.8020637278556824,0.9385,0.31135551643371584,0.9685,1.7406411743164063,0.4486,19.927738189697266,0.26133458300319035
label_smoothing,17,0.719781334400177,0.9675,0.20602951240539552,0.987,1.7778693664550782,0.4504,20.184865951538086,0.2657910420020926
label_smoothing,18,0.6516097135543824,0.992,0.16346661376953125,0.998,1.7640360168457032,0.4474,20.36496925354004,0.25767187499877764
label_smoothing,19,0.618990364074707,0.9985,0.14881972885131836,0.999,1.7477754028320311,0.4452,20.491323471069336,0.2645486670007813
label_smoothing,20,0.5924534950256347,0.9995,0.13544836521148682,0.9995,1.7587514892578124,0.4452,20.587480545043945,0.27977966699836543
label_smoothing,21,0.5740633897781372,0.9995,0.1266752347946167,1.0,1.7421141052246094,0.4424,20.663349151611328,0.2980820410011802
label_smoothing,22,0.5622642936706543,0.9995,0.12645328521728516,1.0,1.7517197814941405,0.4422,20.723634719848633,0.2622228330001235
label_smoothing,23,0.5540797481536865,1.0,0.11270545864105225,1.0,1.7530917266845703,0.4468,20.779685974121094,0.2620115829995484
label_smoothing,24,0.5470264382362365,1.0,0.11059270000457763,1.0,1.742167807006836,0.443,20.826488494873047,0.30242020800506
label_smoothing,25,0.5420351057052613,1.0,0.11460417652130127,1.0,1.7437763122558594,0.4436,20.868938446044922,0.2632500830004574
label_smoothing,26,0.5371764950752258,1.0,0.10562260437011718,1.0,1.748728857421875,0.4436,20.90782356262207,0.2745677080019959
label_smoothing,27,0.5331271471977234,1.0,0.10655171394348145,1.0,1.7437746978759765,0.4446,20.944190979003906,0.26064208300522296
label_smoothing,28,0.5301597466468811,1.0,0.10326056575775147,1.0,1.7436269165039062,0.4404,20.979000091552734,0.2807091249997029
label_smoothing,29,0.5275876307487488,1.0,0.10284855365753173,1.0,1.7382967681884767,0.4474,21.01032257080078,0.2563443750041188
label_smoothing,30,0.5254423160552979,1.0,0.10135595893859864,1.0,1.7407103759765625,0.4456,21.042890548706055,0.25354150000202935
label_smoothing,31,0.5234709315299988,1.0,0.10430444526672364,1.0,1.7404060729980468,0.4482,21.078344345092773,0.25908454199816333
label_smoothing,32,0.5217786326408386,1.0,0.1026167631149292,1.0,1.7395410522460937,0.4452,21.112031936645508,0.25790512499952456
label_smoothing,33,0.5208047533035278,1.0,0.10403850650787354,1.0,1.7416478088378906,0.445,21.144397735595703,0.2605058330009342
label_smoothing,34,0.5191156320571899,1.0,0.10089679050445556,1.0,1.7374730010986328,0.4486,21.17892074584961,0.2581582919956418
label_smoothing,35,0.5176204075813293,1.0,0.09957720565795898,1.0,1.7386876220703125,0.4416,21.211017608642578,0.25886254100623773
