condition,condition_label,initial_state_sha256,best_epoch_by_val_loss,selected_train_loss,selected_train_accuracy,selected_val_loss,selected_val_accuracy,selected_test_loss,selected_test_accuracy,selected_decayed_parameter_l2,selected_train_val_accuracy_gap,final_train_loss,final_train_accuracy,final_val_loss,final_val_accuracy,final_decayed_parameter_l2,final_train_val_accuracy_gap,validation_loss_rise_after_best,epochs_after_best,runtime_seconds,test_accesses,checkpoint_rule,setting_name,setting_weight_decay,setting_augmentation,setting_conv_dropout,setting_classifier_dropout,setting_label_smoothing
baseline,Baseline,fe90ecb28fe21683134363eb43eca6b20b2882c0256ded7e5c77d49f616f7786,8,1.1968193664550781,0.5695,1.6009631225585939,0.4274,1.5944155685424806,0.4299,17.035810470581055,0.1421,0.01971253228187561,0.9955,5.350893603515625,0.4424,23.430572509765625,0.5531,3.7499304809570315,27,10.251330917002633,1,minimum validation cross-entropy,baseline,0.0,False,0.0,0.0,0.0
weight_decay,AdamW decay,fe90ecb28fe21683134363eb43eca6b20b2882c0256ded7e5c77d49f616f7786,8,1.1609393005371094,0.5815,1.5915049194335937,0.43,1.5871926420211793,0.4305,17.01482391357422,0.15150000000000002,0.012178166568279266,0.997,5.0968892333984375,0.4456,23.16823959350586,0.5514,3.5053843139648437,27,9.739677832993038,1,minimum validation cross-entropy,weight_decay,0.01,False,0.0,0.0,0.0
augmentation,Crop + flip,fe90ecb28fe21683134363eb43eca6b20b2882c0256ded7e5c77d49f616f7786,28,0.70568989944458,0.766,1.325827325439453,0.536,1.3047314073562621,0.5462,22.515321731567383,0.22999999999999998,0.535100383758545,0.8145,1.4056959594726564,0.5382,24.369775772094727,0.2763,0.07986863403320332,7,10.271174415996938,1,minimum validation cross-entropy,augmentation,0.0,True,0.0,0.0,0.0
dropout,Dropout,fe90ecb28fe21683134363eb43eca6b20b2882c0256ded7e5c77d49f616f7786,15,0.9931512908935547,0.6605,1.5157623229980468,0.4658,1.4811294183731079,0.4679,19.83907127380371,0.19469999999999998,0.09081947040557861,0.987,2.3235338195800783,0.474,27.291728973388672,0.513,0.8077714965820315,20,9.80911991600442,1,minimum validation cross-entropy,dropout,0.0,False,0.15,0.5,0.0
label_smoothing,Label smoothing,fe90ecb28fe21683134363eb43eca6b20b2882c0256ded7e5c77d49f616f7786,11,0.8557339401245118,0.731,1.5470613677978515,0.4544,1.5527541526794433,0.4482,18.13960075378418,0.27659999999999996,0.09957720565795898,1.0,1.7386876220703125,0.4416,21.211017608642578,0.5584,0.19162625427246094,24,9.835520417000225,1,minimum validation cross-entropy,label_smoothing,0.0,False,0.0,0.0,0.1
