alpha,layer,activation_rms,gradient_rms,active_fraction,finite
0.5,0,0.4191279113292694,4.569546780894274e-13,,True
0.5,1,0.19507528841495514,8.377940539667367e-14,0.499982625246048,True
0.5,2,0.09726343303918839,1.704812506442277e-13,0.4655382037162781,True
0.5,3,0.04441695660352707,3.443144749350202e-13,0.47453126311302185,True
0.5,4,0.0198614951223135,7.197828487751079e-13,0.4668402671813965,True
0.5,5,0.011204286478459835,1.4363726137320287e-12,0.5259374976158142,True
0.5,6,0.005612964741885662,3.065925985312745e-12,0.49585068225860596,True
0.5,7,0.0027089030481874943,6.420952745195274e-12,0.4834982752799988,True
0.5,8,0.001359159592539072,1.3118280767221435e-11,0.4514930546283722,True
0.5,9,0.0007853033021092415,2.5788213578459285e-11,0.5337326526641846,True
0.5,10,0.0004125119303353131,4.9862860368454776e-11,0.5033767223358154,True
0.5,11,0.00017667218344286084,9.877046402984035e-11,0.44880208373069763,True
0.5,12,0.000104291713796556,1.9919157989711778e-10,0.5161371231079102,True
0.5,13,5.4140997235663235e-05,3.8660960544056877e-10,0.5249739289283752,True
0.5,14,2.573236452008132e-05,8.175429777601551e-10,0.4738020896911621,True
0.5,15,1.3108038729114924e-05,1.644078539975169e-09,0.44930556416511536,True
0.5,16,6.853261311334791e-06,3.0528195527068647e-09,0.5467968583106995,True
0.5,17,3.7130510008864803e-06,5.818860948636484e-09,0.5511631965637207,True
0.5,18,1.8752887172013288e-06,1.1523103360389086e-08,0.5125607848167419,True
0.5,19,1.057114445757179e-06,2.151631228741735e-08,0.5455121397972107,True
0.5,20,5.574394208451849e-07,4.2320319693089914e-08,0.46242186427116394,True
0.5,21,3.0066641443227127e-07,7.755609487958282e-08,0.5468662977218628,True
0.5,22,1.5061853275710746e-07,1.6949263681453886e-07,0.46270832419395447,True
0.5,23,7.683956226856026e-08,3.3929032383639424e-07,0.5031510591506958,True
0.5,24,3.818705707203662e-08,6.250789965633885e-07,0.5238454937934875,True
0.5,25,2.139713117799147e-08,1.3253795714263106e-06,0.4878385365009308,True
0.5,26,1.1865354032636333e-08,2.7119247079099296e-06,0.5372569561004639,True
0.5,27,6.410714181726007e-09,5.477977083501173e-06,0.5396093726158142,True
0.5,28,2.935986342933461e-09,1.229533245350467e-05,0.4742708206176758,True
0.5,29,1.7867889390288383e-09,2.6021223675343208e-05,0.5450173616409302,True
0.5,30,1.0215391865742163e-09,5.276337105897255e-05,0.4928819537162781,True
1.0,0,0.4191279113292694,0.0010088087292388082,,True
1.0,1,0.3901505768299103,9.596867312211543e-05,0.499982625246048,True
1.0,2,0.38905373215675354,9.917143324855715e-05,0.4655382037162781,True
1.0,3,0.35533565282821655,9.977907029679045e-05,0.47453126311302185,True
1.0,4,0.317783921957016,0.0001048628764692694,0.4668402671813965,True
