update,train_nll,heldout_nll
1,1.7615589277474701,1.7590136259656883
2,1.7351471699653707,1.7362939025185804
3,1.7109231904699846,1.7136868842405246
4,1.686204500265189,1.68981018866958
5,1.6580473663076518,1.6615295792176132
6,1.6249258330639837,1.6277782243628383
7,1.5851056898816542,1.587942792761447
8,1.5390474183839944,1.5429773151984667
9,1.4896652294833956,1.494801664114278
10,1.4401549884563107,1.4475443673450967
11,1.3915847302730822,1.4023447008459713
12,1.3436281757404471,1.3589729456401132
13,1.296050768162957,1.3168221787367267
14,1.2503445054966964,1.277695569216723
15,1.2071334094112003,1.2408398700297325
16,1.1660187741616255,1.203734593620894
17,1.1277138749553812,1.16659548247475
18,1.0919281213504557,1.1280149072346888
19,1.059443784077813,1.089436142621064
20,1.0306059029206958,1.0526290606972197
21,1.0051442770737542,1.0197028465215638
22,0.9828949553793999,0.9889787074133853
23,0.9622883312898383,0.9624218800423769
24,0.9419604874735201,0.9376916400677927
25,0.9232491948793055,0.9141618516135205
26,0.907388769561722,0.892942251781321
27,0.8913905235058674,0.8718744918795243
28,0.872892679491553,0.8498333778602672
29,0.8540704590032231,0.828869860431012
30,0.8377383808523658,0.8124752101787265
31,0.8237513189506352,0.8006796590808118
32,0.8108523553124055,0.7935233391976492
33,0.7984489658970501,0.7867735758552785
34,0.7869807195673202,0.7808618376349072
35,0.7775459425611756,0.7769138736851858
36,0.769660773298745,0.7767731679838771
37,0.7620111247737054,0.7818840553960332
38,0.7543555773241961,0.7884304750901203
39,0.7467425874374971,0.7925083299828687
40,0.7380024757047837,0.7900652925612235
41,0.7292628879302725,0.7798335646573715
42,0.7215643159064715,0.7646411072734922
43,0.7139346265369663,0.7495956176531262
44,0.7071275213976663,0.7376520845276752
45,0.7014951170020619,0.7285941669933009
46,0.6961623503802382,0.7216931648871584
47,0.6905403379724754,0.7168859278936348
48,0.6852981660395135,0.7144207428319539
49,0.6805713291470473,0.7126663357342357
50,0.6763799339113723,0.7110415994802736
51,0.6723760264662982,0.7085125286402698
52,0.6694179358639404,0.7031644803870791
53,0.6673343903785627,0.6984384456909218
54,0.6651627804440962,0.6960389657858067
55,0.663131891091784,0.6996509646591504
56,0.6613807549906573,0.7055296846789111
57,0.6596122209559855,0.7041277074886381
58,0.6576214301749926,0.6917901852338031
59,0.6564506200401914,0.6781892749871256
60,0.6556489904187865,0.6752312210801791
61,0.654482262620814,0.6835290781433198
62,0.6535112520383234,0.6929065586048823
63,0.652829406682386,0.6945388861721878
64,0.6519508997093277,0.6896951067269743
65,0.6513750168388731,0.6874383592417809
66,0.6509240063945422,0.689877996941168
67,0.6504467794453045,0.69262574136994
68,0.6498277670797256,0.6905725133369874
69,0.6495004446528257,0.6837992519684832
70,0.6492706278141469,0.6765500164165015
71,0.6489512179267252,0.6745014988184407
72,0.648635671497496,0.6777135977923494
73,0.648361060125712,0.6802335839084133
74,0.648113205172449,0.6809866002341031
